run_name,time,W,energy_usage,max_mem
model_frac_0.55_static_quantized_int8,6.198883056640625e-06,2.752,3.9367675781249994e-05,12050432,
model_frac_0.55_static_quantized_int8,0.029555320739746094,2.752,0.08135855102539062,12050432,
model_frac_0.55_static_quantized_int8,0.03965878486633301,2.752,0.10916328430175781,12050432,
model_frac_0.55_static_quantized_int8,0.04976940155029297,2.752,0.13698770141601563,12050432,
model_frac_0.55_static_quantized_int8,0.05986618995666504,2.752,0.16477406311035156,12050432,
model_frac_0.55_static_quantized_int8,0.07132434844970703,2.752,0.19630691528320313,12050432,
model_frac_0.55_static_quantized_int8,0.08681273460388184,2.752,0.23893095397949218,12050432,
model_frac_0.55_static_quantized_int8,0.09693074226379395,2.752,0.2667757110595703,12050432,
model_frac_0.55_static_quantized_int8,0.10706090927124023,2.752,0.2946539306640625,12050432,
model_frac_0.55_static_quantized_int8,0.11723136901855469,2.752,0.3226430358886718,12050432,
model_frac_0.55_static_quantized_int8,0.12761139869689941,2.752,0.3512088775634765,12050432,
model_frac_0.55_static_quantized_int8,0.13773131370544434,2.752,0.37905888366699214,12050432,
model_frac_0.55_static_quantized_int8,0.14789152145385742,2.752,0.40701977539062495,12050432,
model_frac_0.55_static_quantized_int8,0.15804481506347656,2.752,0.43496163940429683,12050432,
model_frac_0.55_static_quantized_int8,0.16818714141845703,2.752,0.4628733215332031,12050432,
model_frac_0.55_static_quantized_int8,0.1783127784729004,2.752,0.4907390747070312,12050432,
model_frac_0.55_static_quantized_int8,0.18846368789672852,2.752,0.5186743774414062,12050432,
model_frac_0.55_static_quantized_int8,0.1986088752746582,2.752,0.5465939331054687,12050432,
model_frac_0.55_static_quantized_int8,0.2092115879058838,2.752,0.5757725982666014,12050432,
model_frac_0.55_static_quantized_int8,0.21936988830566406,2.752,0.6037282409667968,12050432,
model_frac_0.55_static_quantized_int8,0.22951054573059082,2.752,0.6316353302001952,12050432,
model_frac_0.55_static_quantized_int8,0.23965191841125488,2.752,0.6595443878173828,12050432,
model_frac_0.55_static_quantized_int8,0.25024843215942383,2.752,0.6887059936523438,12050432,
model_frac_0.55_static_quantized_int8,0.260373592376709,2.752,0.7165704345703126,12050432,
model_frac_0.55_static_quantized_int8,0.27053260803222656,2.752,0.744528045654297,12050432,
model_frac_0.55_static_quantized_int8,0.2807002067565918,2.752,0.7725092773437501,12050432,
model_frac_0.55_static_quantized_int8,0.2908957004547119,2.752,0.8005672760009767,12050432,
model_frac_0.55_static_quantized_int8,0.30103373527526855,2.752,0.8284671478271486,12050432,
model_frac_0.55_static_quantized_int8,0.31118321418762207,2.752,0.8563985137939455,12050432,
model_frac_0.55_static_quantized_int8,0.3215067386627197,2.752,0.8848088531494143,12050432,
model_frac_0.55_static_quantized_int8,0.3316011428833008,2.752,0.9125886535644533,12050432,
model_frac_0.55_static_quantized_int8,0.34171223640441895,2.752,0.9404143829345705,12050432,
model_frac_0.55_static_quantized_int8,0.3518340587615967,2.752,0.9682696380615236,12050432,
model_frac_0.55_static_quantized_int8,0.3619992733001709,2.752,0.9962443084716798,12050432,
model_frac_0.55_static_quantized_int8,0.3722190856933594,2.752,1.0243692321777345,12050432,
model_frac_0.55_static_quantized_int8,0.38233327865600586,2.752,1.0522034912109375,12050432,
model_frac_0.55_static_quantized_int8,0.39246630668640137,2.752,1.080089584350586,12050432,
model_frac_0.55_static_quantized_int8,0.40261197090148926,2.752,1.1080104522705079,12050432,
model_frac_0.55_static_quantized_int8,0.4128603935241699,2.752,1.136214111328125,12050432,
model_frac_0.55_static_quantized_int8,0.42298078536987305,2.752,1.1640654296875,12050432,
model_frac_0.55_static_quantized_int8,0.43312764167785645,2.752,1.1919895782470702,12050432,
model_frac_0.55_static_quantized_int8,0.4433286190032959,2.752,1.2200626678466795,12050432,
model_frac_0.55_static_quantized_int8,0.4536421298980713,2.752,1.2484454498291013,12050432,
model_frac_0.55_static_quantized_int8,0.463803768157959,2.752,1.2764102783203122,12050432,
model_frac_0.55_static_quantized_int8,0.4739704132080078,2.752,1.3043888854980465,12050432,
model_frac_0.55_static_quantized_int8,0.48474621772766113,2.752,1.3340438995361326,12050432,
model_frac_0.55_static_quantized_int8,0.4949946403503418,2.752,1.3622475585937497,12050432,
model_frac_0.55_static_quantized_int8,0.5051436424255371,2.752,1.3901776123046872,12050432,
model_frac_0.55_static_quantized_int8,0.515308141708374,2.752,1.4181503143310543,12050432,
model_frac_0.55_static_quantized_int8,0.5255382061004639,2.752,1.4463034515380855,12050432,
model_frac_0.55_static_quantized_int8,0.5356547832489014,2.752,1.4741442718505855,12050432,
model_frac_0.55_static_quantized_int8,0.5458126068115234,2.752,1.5020986022949214,12050432,
model_frac_0.55_static_quantized_int8,0.5559766292572021,2.752,1.5300699920654293,12050432,
model_frac_0.55_static_quantized_int8,0.5662481784820557,2.752,1.558337295532226,12050432,
model_frac_0.55_static_quantized_int8,0.5763833522796631,5.019,1.6092057328224179,12050432,
model_frac_0.55_static_quantized_int8,0.5865428447723389,5.019,1.6601962256431575,12050432,
model_frac_0.55_static_quantized_int8,0.5967152118682861,5.019,1.7112513360977168,12050432,
model_frac_0.55_static_quantized_int8,0.6069526672363281,5.019,1.7626331245899196,12050432,
model_frac_0.55_static_quantized_int8,0.6170938014984131,5.019,1.813531477451324,12050432,
model_frac_0.55_static_quantized_int8,0.6272599697113037,5.019,1.8645554757118221,12050432,
model_frac_0.55_static_quantized_int8,0.6374251842498779,5.019,1.915574687480926,12050432,
model_frac_0.55_static_quantized_int8,0.6475908756256104,5.019,1.9665962924957272,12050432,
model_frac_0.55_static_quantized_int8,0.6577205657958984,5.019,2.0174372074604032,12050432,
model_frac_0.55_static_quantized_int8,0.6678853034973145,5.019,2.0684540259838102,12050432,
model_frac_0.55_static_quantized_int8,0.6780905723571777,5.019,2.119674270391464,12050432,
model_frac_0.55_static_quantized_int8,0.6885032653808594,5.019,2.1719355766773223,12050432,
model_frac_0.55_static_quantized_int8,0.6986401081085205,5.019,2.2228123903274537,12050432,
model_frac_0.55_static_quantized_int8,0.7087783813476562,5.019,2.273696383714676,12050432,
model_frac_0.55_static_quantized_int8,0.718984842300415,5.019,2.3249226112365724,12050432,
model_frac_0.55_static_quantized_int8,0.729154109954834,5.019,2.375962165594101,12050432,
model_frac_0.55_static_quantized_int8,0.7392921447753906,5.019,2.4268449623584747,12050432,
model_frac_0.55_static_quantized_int8,0.7494478225708008,5.019,2.477816309213638,12050432,
model_frac_0.55_static_quantized_int8,0.7596473693847656,5.019,2.5290078346729277,12050432,
model_frac_0.55_static_quantized_int8,0.769859790802002,5.019,2.580263977766037,12050432,
model_frac_0.55_static_quantized_int8,0.7799863815307617,5.019,2.631089336633682,12050432,
model_frac_0.55_static_quantized_int8,0.7901480197906494,5.019,2.6820905990600585,12050432,
model_frac_0.55_static_quantized_int8,0.8003101348876953,5.019,2.7330942547321317,12050432,
model_frac_0.55_static_quantized_int8,0.810532808303833,5.019,2.784401852607727,12050432,
model_frac_0.55_static_quantized_int8,0.8206789493560791,5.019,2.83532533454895,12050432,
model_frac_0.55_static_quantized_int8,0.8307983875274658,5.019,2.88611479473114,12050432,
model_frac_0.55_static_quantized_int8,0.8409454822540283,5.019,2.9370430631637574,12050432,
model_frac_0.55_static_quantized_int8,0.8511583805084229,5.019,2.9883015995025635,12050432,
model_frac_0.55_static_quantized_int8,0.8612973690032959,5.019,3.0391891827583315,12050432,
model_frac_0.55_static_quantized_int8,0.8714807033538818,5.019,3.0902993378639225,12050432,
model_frac_0.55_static_quantized_int8,0.881608247756958,5.019,3.141129483222962,12050432,
model_frac_0.55_static_quantized_int8,0.8917727470397949,5.019,3.1921451051235206,12050432,
model_frac_0.55_static_quantized_int8,0.9020025730133057,5.019,3.2434886016845708,12050432,
model_frac_0.55_static_quantized_int8,0.912123441696167,5.019,3.294285241603852,12050432,
model_frac_0.55_static_quantized_int8,0.9222455024719238,5.019,3.3450878646373754,12050432,
model_frac_0.55_static_quantized_int8,0.9324078559875488,5.019,3.3960927169322974,12050432,
model_frac_0.55_static_quantized_int8,0.9425687789916992,5.019,3.4470903894901284,12050432,
model_frac_0.55_static_quantized_int8,0.9528095722198486,5.019,3.4984889307022105,12050432,
model_frac_0.55_static_quantized_int8,0.9629397392272949,5.019,3.549332238912583,12050432,
model_frac_0.55_static_quantized_int8,0.9731316566467285,5.019,3.6004854724407203,12050432,
model_frac_0.55_static_quantized_int8,0.9832901954650879,5.019,3.6514711787700658,12050432,
model_frac_0.55_static_quantized_int8,0.9934196472167969,5.019,3.702310897111893,12050432,
model_frac_0.55_static_quantized_int8,1.0035648345947266,5.019,3.753229592561722,12050432,
model_frac_0.55_static_quantized_int8,1.0137078762054443,5.019,3.8041375184059145,12050432,
model_frac_0.55_static_quantized_int8,1.02424955368042,5.019,3.857046197652817,12050432,
model_frac_0.55_static_quantized_int8,1.0343811511993408,5.019,3.907896685600281,12050432,
model_frac_0.55_static_quantized_int8,1.0445396900177002,5.019,3.9588823919296265,12050432,
model_frac_0.55_static_quantized_int8,1.0547385215759277,5.019,4.010070327520371,12050432,
model_frac_0.55_static_quantized_int8,1.0650498867034912,5.019,4.061823069095611,12050432,
model_frac_0.55_static_quantized_int8,1.0751652717590332,5.019,4.112592186689377,12050432,
model_frac_0.55_static_quantized_int8,1.085322380065918,5.019,4.163570713281632,12050432,
model_frac_0.55_static_quantized_int8,1.0954816341400146,5.019,4.2145600094795235,12050432,
model_frac_0.55_static_quantized_int8,1.1056816577911377,5.019,4.26575392818451,12050432,
model_frac_0.55_static_quantized_int8,1.1157982349395752,5.019,4.316529028892518,12050432,
model_frac_0.55_static_quantized_int8,1.1259315013885498,5.019,4.367387893199921,12050432,
model_frac_0.55_static_quantized_int8,1.1360716819763184,5.019,4.418281459569932,12050432,
model_frac_0.55_static_quantized_int8,1.1462342739105225,5.019,4.469287508487702,12050432,
model_frac_0.55_static_quantized_int8,1.1565370559692383,5.019,4.5209971716403965,12050432,
model_frac_0.55_static_quantized_int8,1.1666755676269531,5.019,4.571882361650467,12050432,
model_frac_0.55_static_quantized_int8,1.17681884765625,5.019,4.622791484117508,12050432,
model_frac_0.55_static_quantized_int8,1.1871187686920166,5.019,4.67448678779602,12050432,
model_frac_0.55_static_quantized_int8,1.1972541809082031,5.019,4.72535642170906,12050432,
model_frac_0.55_static_quantized_int8,1.2074074745178223,5.019,4.776315802335739,12050432,
model_frac_0.55_static_quantized_int8,1.217585563659668,5.019,4.827399631738662,12050432,
model_frac_0.55_static_quantized_int8,1.2281391620635986,5.019,4.88036814212799,12050432,
model_frac_0.55_static_quantized_int8,1.238370656967163,5.019,4.93172001504898,12050432,
model_frac_0.55_static_quantized_int8,1.2485296726226807,5.019,4.982708114624023,12050432,
model_frac_0.55_static_quantized_int8,1.2587268352508545,5.019,5.033887673854827,12050432,
model_frac_0.55_static_quantized_int8,1.2691898345947266,5.019,5.086401467561721,12050432,
model_frac_0.55_static_quantized_int8,1.2793054580688477,5.019,5.137171781778335,12050432,
model_frac_0.55_static_quantized_int8,1.289457082748413,5.019,5.188122786045073,12050432,
model_frac_0.55_static_quantized_int8,1.2996203899383545,5.019,5.239132424831389,12050432,
model_frac_0.55_static_quantized_int8,1.3097374439239502,5.019,5.289909918785094,12050432,
model_frac_0.55_static_quantized_int8,1.3198621273040771,5.019,5.340725704669951,12050432,
model_frac_0.55_static_quantized_int8,1.3300268650054932,5.019,5.391742523193358,12050432,
model_frac_0.55_static_quantized_int8,1.3401808738708496,5.019,5.442705493688582,12050432,
