run_name,time,W,energy_usage,max_mem
model_frac_0.40_static_quantized_uint8,3.337860107421875e-06,2.767,1.7812013626098634e-05,14295040,
model_frac_0.40_static_quantized_uint8,0.029687166213989258,2.767,0.08215296506881713,14295040,
model_frac_0.40_static_quantized_uint8,0.03980278968811035,2.767,0.1101428952217102,14295040,
model_frac_0.40_static_quantized_uint8,0.04990792274475098,2.767,0.13810379838943482,14295040,
model_frac_0.40_static_quantized_uint8,0.06000852584838867,2.767,0.1660521671772003,14295040,
model_frac_0.40_static_quantized_uint8,0.07468247413635254,2.767,0.20665498208999633,14295040,
model_frac_0.40_static_quantized_uint8,0.0848090648651123,2.767,0.2346752586364746,14295040,
model_frac_0.40_static_quantized_uint8,0.09493470191955566,2.767,0.26269289636611937,14295040,
model_frac_0.40_static_quantized_uint8,0.10508441925048828,2.767,0.2907771642208099,14295040,
model_frac_0.40_static_quantized_uint8,0.11524510383605957,2.767,0.3188917784690857,14295040,
model_frac_0.40_static_quantized_uint8,0.12540745735168457,2.767,0.34701101064682005,14295040,
model_frac_0.40_static_quantized_uint8,0.13557219505310059,2.767,0.37513683986663815,14295040,
model_frac_0.40_static_quantized_uint8,0.14577412605285645,2.767,0.4033655829429626,14295040,
model_frac_0.40_static_quantized_uint8,0.1559758186340332,2.767,0.4315936663150787,14295040,
model_frac_0.40_static_quantized_uint8,0.16614198684692383,2.767,0.459723453760147,14295040,
model_frac_0.40_static_quantized_uint8,0.17635464668273926,2.767,0.4879818835258483,14295040,
model_frac_0.40_static_quantized_uint8,0.18651628494262695,2.767,0.5160991365909575,14295040,
model_frac_0.40_static_quantized_uint8,0.19667720794677734,2.767,0.5442144105434417,14295040,
model_frac_0.40_static_quantized_uint8,0.20696806907653809,2.767,0.5726892232894897,14295040,
model_frac_0.40_static_quantized_uint8,0.21724939346313477,2.767,0.6011376478672027,14295040,
model_frac_0.40_static_quantized_uint8,0.22737669944763184,2.767,0.6291599035263061,14295040,
model_frac_0.40_static_quantized_uint8,0.23764538764953613,2.767,0.6575733637809753,14295040,
model_frac_0.40_static_quantized_uint8,0.24780035018920898,2.767,0.68567214512825,14295040,
model_frac_0.40_static_quantized_uint8,0.2579514980316162,2.767,0.7137603712081908,14295040,
model_frac_0.40_static_quantized_uint8,0.2681155204772949,2.767,0.7418842213153838,14295040,
model_frac_0.40_static_quantized_uint8,0.2782759666442871,2.767,0.7699981758594512,14295040,
model_frac_0.40_static_quantized_uint8,0.28844618797302246,2.767,0.7981391782760618,14295040,
model_frac_0.40_static_quantized_uint8,0.2986271381378174,2.767,0.8263098673820494,14295040,
model_frac_0.40_static_quantized_uint8,0.3088541030883789,2.767,0.8546078794002531,14295040,
model_frac_0.40_static_quantized_uint8,0.3190724849700928,2.767,0.8828821420669554,14295040,
model_frac_0.40_static_quantized_uint8,0.329209566116333,2.767,0.9109314455986021,14295040,
