run_name,time,W,energy_usage,max_mem
model_frac_0.10_static_quantized_int8,2.6226043701171875e-06,2.763,1.646876335144043e-05,15818752,
model_frac_0.10_static_quantized_int8,0.029591083526611328,2.763,0.0817693862915039,15818752,
model_frac_0.10_static_quantized_int8,0.03969430923461914,2.763,0.10968459892272948,15818752,
model_frac_0.10_static_quantized_int8,0.049791812896728516,2.763,0.1375840015411377,15818752,
model_frac_0.10_static_quantized_int8,0.05994081497192383,2.763,0.16562569427490234,15818752,
model_frac_0.10_static_quantized_int8,0.07585382461547852,2.763,0.20959333992004395,15818752,
model_frac_0.10_static_quantized_int8,0.08602070808410645,2.763,0.23768443894386293,15818752,
model_frac_0.10_static_quantized_int8,0.09625840187072754,2.763,0.265971186876297,15818752,
model_frac_0.10_static_quantized_int8,0.10643577575683594,2.763,0.29409127092361453,15818752,
model_frac_0.10_static_quantized_int8,0.11656355857849121,2.763,0.32207433485984804,15818752,
model_frac_0.10_static_quantized_int8,0.12672209739685059,2.763,0.350142377614975,15818752,
model_frac_0.10_static_quantized_int8,0.1369161605834961,2.763,0.37830857419967656,15818752,
model_frac_0.10_static_quantized_int8,0.1470780372619629,2.763,0.4063858394622803,15818752,
model_frac_0.10_static_quantized_int8,0.1571979522705078,2.763,0.4343471646308899,15818752,
model_frac_0.10_static_quantized_int8,0.16769695281982422,2.763,0.46335590314865116,15818752,
model_frac_0.10_static_quantized_int8,0.17790007591247559,2.763,0.4915471322536469,15818752,
model_frac_0.10_static_quantized_int8,0.18810772895812988,2.763,0.5197508776187897,15818752,
model_frac_0.10_static_quantized_int8,0.19826412200927734,2.763,0.5478129916191101,15818752,
model_frac_0.10_static_quantized_int8,0.20871591567993164,2.763,0.5766912975311279,15818752,
model_frac_0.10_static_quantized_int8,0.21892094612121582,2.763,0.604887796640396,15818752,
model_frac_0.10_static_quantized_int8,0.22911691665649414,2.763,0.63305926322937,15818752,
model_frac_0.10_static_quantized_int8,0.239271879196167,2.763,0.661117424726486,15818752,
model_frac_0.10_static_quantized_int8,0.24943995475769043,2.763,0.6892118175029753,15818752,
model_frac_0.10_static_quantized_int8,0.2596316337585449,2.763,0.7173714265823363,15818752,
model_frac_0.10_static_quantized_int8,0.269787073135376,2.763,0.7454309055805205,15818752,
model_frac_0.10_static_quantized_int8,0.27994561195373535,2.763,0.7734989483356475,15818752,
model_frac_0.10_static_quantized_int8,0.2901170253753662,2.763,0.8016025636196136,15818752,
model_frac_0.10_static_quantized_int8,0.30028486251831055,3.87,0.8409520933628082,15818752,
model_frac_0.10_static_quantized_int8,0.31044602394104004,3.87,0.8802757880687713,15818752,
model_frac_0.10_static_quantized_int8,0.320634126663208,3.87,0.9197037456035613,15818752,
model_frac_0.10_static_quantized_int8,0.33086252212524414,3.87,0.9592876360416411,15818752,
model_frac_0.10_static_quantized_int8,0.34100842475891113,3.87,0.9985522792339324,15818752,
model_frac_0.10_static_quantized_int8,0.35117363929748535,3.87,1.0378916594982146,15818752,
model_frac_0.10_static_quantized_int8,0.3613626956939697,3.87,1.0773233077526092,15818752,
model_frac_0.10_static_quantized_int8,0.37158679962158203,3.87,1.1168905899524688,15818752,
model_frac_0.10_static_quantized_int8,0.3821573257446289,3.87,1.1577985260486603,15818752,
model_frac_0.10_static_quantized_int8,0.3923182487487793,3.87,1.1971212980747223,15818752,
model_frac_0.10_static_quantized_int8,0.4024808406829834,3.87,1.2364505288600922,15818752,
model_frac_0.10_static_quantized_int8,0.41261959075927734,3.87,1.2756874916553498,15818752,
model_frac_0.10_static_quantized_int8,0.4227597713470459,3.87,1.314929990530014,15818752,
model_frac_0.10_static_quantized_int8,0.43296217918395996,3.87,1.3544133088588715,15818752,
model_frac_0.10_static_quantized_int8,0.4431900978088379,3.87,1.393995353937149,15818752,
model_frac_0.10_static_quantized_int8,0.4533524513244629,3.87,1.4333236620426177,15818752,
model_frac_0.10_static_quantized_int8,0.46348071098327637,3.87,1.4725200269222258,15818752,
model_frac_0.10_static_quantized_int8,0.4739556312561035,3.87,1.513057968378067,15818752,
model_frac_0.10_static_quantized_int8,0.48414087295532227,3.87,1.5524748537540436,15818752,
model_frac_0.10_static_quantized_int8,0.49431371688842773,3.87,1.5918437597751618,15818752,
model_frac_0.10_static_quantized_int8,0.5044305324554443,3.87,1.630995836019516,15818752,
model_frac_0.10_static_quantized_int8,0.5149509906768799,3.87,1.6717100093364716,15818752,
model_frac_0.10_static_quantized_int8,0.5251355171203613,3.87,1.7111241266727448,15818752,
model_frac_0.10_static_quantized_int8,0.5353243350982666,3.87,1.7505548522472383,15818752,
model_frac_0.10_static_quantized_int8,0.5454850196838379,3.87,1.7898767015933992,15818752,
model_frac_0.10_static_quantized_int8,0.5556173324584961,3.87,1.8290887520313264,15818752,
model_frac_0.10_static_quantized_int8,0.5657632350921631,3.87,1.8683533952236175,15818752,
model_frac_0.10_static_quantized_int8,0.5759520530700684,3.87,1.907784120798111,15818752,
model_frac_0.10_static_quantized_int8,0.5860958099365234,3.87,1.947040459871292,15818752,
model_frac_0.10_static_quantized_int8,0.5962121486663818,3.87,1.986190690755844,15818752,
model_frac_0.10_static_quantized_int8,0.6065819263458252,3.87,2.02632173037529,15818752,
model_frac_0.10_static_quantized_int8,0.6167356967926025,3.87,2.0656168220043183,15818752,
model_frac_0.10_static_quantized_int8,0.6268970966339111,3.87,2.1049414393901826,15818752,
model_frac_0.10_static_quantized_int8,0.6370639801025391,3.87,2.1442872784137728,15818752,
model_frac_0.10_static_quantized_int8,0.6472043991088867,3.87,2.183530699968338,15818752,
model_frac_0.10_static_quantized_int8,0.6573679447174072,3.87,2.2228636214733126,15818752,
model_frac_0.10_static_quantized_int8,0.6675326824188232,3.87,2.2622011563777926,15818752,
model_frac_0.10_static_quantized_int8,0.6777057647705078,3.87,2.3015709850788117,15818752,
model_frac_0.10_static_quantized_int8,0.6878392696380615,3.87,2.3407876489162445,15818752,
model_frac_0.10_static_quantized_int8,0.6982831954956055,3.87,2.3812056419849394,15818752,
model_frac_0.10_static_quantized_int8,0.7084381580352783,3.87,2.4205053470134734,15818752,
