run_name,time,W,energy_usage,max_mem
model_frac_0.690_static_quantized_uint8,3.5762786865234375e-06,2.752,2.03399658203125e-05,9768960,
model_frac_0.690_static_quantized_uint8,0.039339303970336914,2.752,0.10827226257324217,9768960,
model_frac_0.690_static_quantized_uint8,0.04944491386413574,2.752,0.13608290100097653,9768960,
model_frac_0.690_static_quantized_uint8,0.05954694747924805,2.752,0.16388369750976559,9773056,
model_frac_0.690_static_quantized_uint8,0.06965351104736328,2.752,0.19169696044921872,10031104,
model_frac_0.690_static_quantized_uint8,0.08442497253417969,2.752,0.23234802246093747,10031104,
model_frac_0.690_static_quantized_uint8,0.09458518028259277,2.752,0.2603089141845703,10031104,
model_frac_0.690_static_quantized_uint8,0.10485172271728516,2.752,0.28856243896484374,10031104,
model_frac_0.690_static_quantized_uint8,0.11502289772033691,2.752,0.31655351257324216,10031104,
model_frac_0.690_static_quantized_uint8,0.12519001960754395,2.752,0.3445334320068359,10031104,
model_frac_0.690_static_quantized_uint8,0.13533782958984375,2.752,0.37246020507812494,10031104,
model_frac_0.690_static_quantized_uint8,0.1454770565032959,2.752,0.40036335754394525,10031104,
model_frac_0.690_static_quantized_uint8,0.1561124324798584,2.752,0.42963191223144526,10031104,
model_frac_0.690_static_quantized_uint8,0.16624760627746582,2.752,0.4575239105224609,10031104,
model_frac_0.690_static_quantized_uint8,0.17655205726623535,2.752,0.4858817596435546,10031104,
model_frac_0.690_static_quantized_uint8,0.18667173385620117,2.752,0.5137311096191406,10031104,
model_frac_0.690_static_quantized_uint8,0.19681835174560547,2.752,0.5416546020507812,10031104,
model_frac_0.690_static_quantized_uint8,0.20700740814208984,2.752,0.5696948852539062,10031104,
model_frac_0.690_static_quantized_uint8,0.21755647659301758,2.752,0.5987259216308594,10031104,
model_frac_0.690_static_quantized_uint8,0.22768020629882812,2.752,0.62658642578125,10031104,
model_frac_0.690_static_quantized_uint8,0.23779582977294922,2.752,0.6544246215820313,10031104,
model_frac_0.690_static_quantized_uint8,0.24792814254760742,2.752,0.6823087463378906,10031104,
model_frac_0.690_static_quantized_uint8,0.25804710388183594,2.752,0.7101561279296875,10031104,
