run_name,time,W,energy_usage,max_mem
model_frac_0.860_static_quantized_uint8,5.0067901611328125e-06,2.741,2.548670768737793e-05,8986624,
model_frac_0.860_static_quantized_uint8,0.07653141021728516,2.741,0.20978435850143431,8986624,
model_frac_0.860_static_quantized_uint8,0.08665919303894043,2.741,0.23754461121559142,8986624,
model_frac_0.860_static_quantized_uint8,0.09676671028137207,2.741,0.26524931597709656,8986624,
model_frac_0.860_static_quantized_uint8,0.10688996315002441,2.741,0.29299715209007265,9252864,
model_frac_0.860_static_quantized_uint8,0.11881089210510254,2.741,0.3256724183559418,9252864,
model_frac_0.860_static_quantized_uint8,0.1318495273590088,2.741,0.3614113175868988,9252864,
model_frac_0.860_static_quantized_uint8,0.14197993278503418,2.741,0.38917875885963443,9252864,
model_frac_0.860_static_quantized_uint8,0.15215635299682617,2.741,0.41707232666015626,9252864,
model_frac_0.860_static_quantized_uint8,0.1622917652130127,2.741,0.44485349154472353,9252864,
model_frac_0.860_static_quantized_uint8,0.17241454124450684,2.741,0.472600020647049,9252864,
model_frac_0.860_static_quantized_uint8,0.1827831268310547,2.741,0.5010203137397766,9252864,
model_frac_0.860_static_quantized_uint8,0.1929023265838623,2.741,0.5287570402622223,9252864,
model_frac_0.860_static_quantized_uint8,0.20303559303283691,2.741,0.5565323235988616,9252864,
model_frac_0.860_static_quantized_uint8,0.21315860748291016,2.741,0.5842795062065124,9252864,
model_frac_0.860_static_quantized_uint8,0.22353100776672363,2.741,0.6127102553844451,9252864,
model_frac_0.860_static_quantized_uint8,0.23365378379821777,2.741,0.6404567844867706,9252864,
model_frac_0.860_static_quantized_uint8,0.24393057823181152,2.741,0.668625478029251,9252864,
model_frac_0.860_static_quantized_uint8,0.25406432151794434,2.741,0.6964020683765411,9252864,
model_frac_0.860_static_quantized_uint8,0.26419639587402344,2.741,0.7241740841865538,9252864,
model_frac_0.860_static_quantized_uint8,0.27457666397094727,2.741,0.752626399040222,9252864,
model_frac_0.860_static_quantized_uint8,0.2846953868865967,2.741,0.780361818552017,9252864,
model_frac_0.860_static_quantized_uint8,0.2948312759399414,2.741,0.8081442904472349,9252864,
model_frac_0.860_static_quantized_uint8,0.3049614429473877,2.741,0.8359110782146452,9252864,
model_frac_0.860_static_quantized_uint8,0.31515049934387207,2.741,0.8638392817974089,9252864,
