run_name,time,W,energy_usage,max_mem
model_frac_0.45_static_quantized_int8,3.0994415283203125e-06,2.756,1.7741203308105467e-05,11833344,
model_frac_0.45_static_quantized_int8,0.029546022415161133,2.756,0.08143803691864013,11833344,
model_frac_0.45_static_quantized_int8,0.0397183895111084,2.756,0.10947308063507079,11833344,
model_frac_0.45_static_quantized_int8,0.04983043670654297,2.756,0.13734188270568845,12099584,
model_frac_0.45_static_quantized_int8,0.05993819236755371,2.756,0.16519885730743405,12099584,
model_frac_0.45_static_quantized_int8,0.0706942081451416,2.756,0.19484243679046628,12099584,
model_frac_0.45_static_quantized_int8,0.09109687805175781,2.756,0.2510721950531006,12099584,
model_frac_0.45_static_quantized_int8,0.10176992416381836,2.756,0.2804871101379394,12099584,
model_frac_0.45_static_quantized_int8,0.11189842224121094,2.756,0.30840125083923337,12099584,
model_frac_0.45_static_quantized_int8,0.12206196784973145,2.756,0.3364119825363159,12099584,
model_frac_0.45_static_quantized_int8,0.1322317123413086,2.756,0.3644397983551025,12099584,
model_frac_0.45_static_quantized_int8,0.1424252986907959,2.756,0.3925333223342895,12099584,
model_frac_0.45_static_quantized_int8,0.15259122848510742,2.756,0.42055062484741207,12099584,
model_frac_0.45_static_quantized_int8,0.1631004810333252,2.756,0.44951412487030024,12099584,
model_frac_0.45_static_quantized_int8,0.1733560562133789,2.756,0.4777784900665283,12099584,
model_frac_0.45_static_quantized_int8,0.18347930908203125,2.756,0.5056781749725341,12099584,
model_frac_0.45_static_quantized_int8,0.19362878799438477,2.756,0.5336501388549804,12099584,
model_frac_0.45_static_quantized_int8,0.20379281044006348,2.756,0.5616621847152709,12099584,
model_frac_0.45_static_quantized_int8,0.2139747142791748,2.756,0.5897235116958617,12099584,
model_frac_0.45_static_quantized_int8,0.22419333457946777,2.756,0.6178860292434691,12099584,
model_frac_0.45_static_quantized_int8,0.23449945449829102,2.756,0.646289695739746,12099584,
model_frac_0.45_static_quantized_int8,0.24463605880737305,2.756,0.6742261772155761,12099584,
model_frac_0.45_static_quantized_int8,0.2547619342803955,2.756,0.702133090019226,12099584,
model_frac_0.45_static_quantized_int8,0.26491355895996094,2.756,0.7301109676361083,12099584,
model_frac_0.45_static_quantized_int8,0.27508044242858887,2.756,0.7581308984756469,12099584,
model_frac_0.45_static_quantized_int8,0.2852299213409424,2.756,0.7861028623580931,12099584,
model_frac_0.45_static_quantized_int8,0.29538416862487793,2.756,0.8140879678726195,12099584,
model_frac_0.45_static_quantized_int8,0.30558037757873535,2.756,0.8421887197494505,12099584,
model_frac_0.45_static_quantized_int8,0.31600165367126465,2.756,0.8709097566604612,12099584,
model_frac_0.45_static_quantized_int8,0.3261899948120117,2.756,0.8989888248443602,12099584,
model_frac_0.45_static_quantized_int8,0.3363649845123291,2.756,0.9270310964584348,12099584,
model_frac_0.45_static_quantized_int8,0.3465149402618408,2.756,0.9550043745040891,12099584,
model_frac_0.45_static_quantized_int8,0.3566908836364746,2.756,0.9830492744445799,12099584,
model_frac_0.45_static_quantized_int8,0.3669137954711914,2.756,1.0112236194610593,12099584,
model_frac_0.45_static_quantized_int8,0.3770761489868164,2.756,1.0392310657501218,12099584,
