run_name,time,W,energy_usage,max_mem
model_frac_0.70_static_quantized_int8,3.337860107421875e-06,0.0,0.0,1540096,
model_frac_0.70_static_quantized_int8,0.010130882263183594,0.0,0.0,1806336,
model_frac_0.70_static_quantized_int8,0.020296096801757812,0.0,0.0,1806336,
model_frac_0.70_static_quantized_int8,0.03039264678955078,0.0,0.0,2064384,
model_frac_0.70_static_quantized_int8,0.040602922439575195,0.0,0.0,2064384,
model_frac_0.70_static_quantized_int8,0.0518193244934082,0.0,0.0,2322432,
model_frac_0.70_static_quantized_int8,0.06299233436584473,0.0,0.0,2322432,
model_frac_0.70_static_quantized_int8,0.07891416549682617,0.0,0.0,2588672,
model_frac_0.70_static_quantized_int8,0.09415864944458008,0.0,0.0,2588672,
model_frac_0.70_static_quantized_int8,0.10472273826599121,0.0,0.0,2846720,
model_frac_0.70_static_quantized_int8,0.11968064308166504,0.0,0.0,2846720,
model_frac_0.70_static_quantized_int8,0.13232064247131348,0.0,0.0,2846720,
model_frac_0.70_static_quantized_int8,0.14246821403503418,0.0,0.0,2846720,
model_frac_0.70_static_quantized_int8,0.15265941619873047,0.0,0.0,2846720,
model_frac_0.70_static_quantized_int8,0.1627967357635498,0.0,0.0,2846720,
model_frac_0.70_static_quantized_int8,0.1731095314025879,0.0,0.0,2846720,
model_frac_0.70_static_quantized_int8,0.1832726001739502,0.0,0.0,2846720,
model_frac_0.70_static_quantized_int8,0.19362187385559082,0.0,0.0,2846720,
model_frac_0.70_static_quantized_int8,0.20379042625427246,0.0,0.0,2846720,
model_frac_0.70_static_quantized_int8,0.21390652656555176,0.0,0.0,2846720,
model_frac_0.70_static_quantized_int8,0.22412419319152832,0.0,0.0,2846720,
model_frac_0.70_static_quantized_int8,0.23425555229187012,0.0,0.0,2846720,
model_frac_0.70_static_quantized_int8,0.24445676803588867,0.0,0.0,2846720,
model_frac_0.70_static_quantized_int8,0.25458478927612305,0.0,0.0,2846720,
model_frac_0.70_static_quantized_int8,0.26505112648010254,0.0,0.0,2846720,
model_frac_0.70_static_quantized_int8,0.2751762866973877,0.0,0.0,2846720,
model_frac_0.70_static_quantized_int8,0.28569531440734863,0.0,0.0,2846720,
model_frac_0.70_static_quantized_int8,0.29582715034484863,0.0,0.0,2846720,
model_frac_0.70_static_quantized_int8,0.3060920238494873,0.0,0.0,2846720,
model_frac_0.70_static_quantized_int8,0.3162200450897217,0.0,0.0,2846720,
model_frac_0.70_static_quantized_int8,0.3263564109802246,0.0,0.0,2846720,
model_frac_0.70_static_quantized_int8,0.33649230003356934,0.0,0.0,2846720,
model_frac_0.70_static_quantized_int8,0.3466207981109619,0.0,0.0,2846720,
model_frac_0.70_static_quantized_int8,0.3567678928375244,0.0,0.0,2846720,
