run_name,time,W,energy_usage,max_mem
model_frac_0.750_static_quantized_uint8,3.814697265625e-06,2.733,2.1502733230590822e-05,12734464,
model_frac_0.750_static_quantized_uint8,0.08451461791992188,2.733,0.23098952794075014,12959744,
model_frac_0.750_static_quantized_uint8,0.09461331367492676,2.733,0.2585892634391785,12959744,
model_frac_0.750_static_quantized_uint8,0.10471439361572266,2.733,0.28619551491737366,13225984,
model_frac_0.750_static_quantized_uint8,0.11481785774230957,2.733,0.3138082823753357,13225984,
model_frac_0.750_static_quantized_uint8,0.12683510780334473,2.733,0.3466514267921448,13225984,
model_frac_0.750_static_quantized_uint8,0.13697576522827148,2.733,0.3743658435344696,13225984,
model_frac_0.750_static_quantized_uint8,0.14717698097229004,2.733,0.40224576616287233,13225984,
model_frac_0.750_static_quantized_uint8,0.1573171615600586,2.733,0.4299588797092438,13225984,
model_frac_0.750_static_quantized_uint8,0.1674504280090332,2.733,0.4576530969142914,13225984,
model_frac_0.750_static_quantized_uint8,0.17760396003723145,2.733,0.4854026999473572,13225984,
model_frac_0.750_static_quantized_uint8,0.18773698806762695,2.733,0.5130962655544281,13225984,
model_frac_0.750_static_quantized_uint8,0.19790434837341309,2.733,0.5408836612701416,13225984,
model_frac_0.750_static_quantized_uint8,0.2080526351928711,2.733,0.5686189291477204,13225984,
model_frac_0.750_static_quantized_uint8,0.21838116645812988,2.733,0.5968468050956727,13225984,
model_frac_0.750_static_quantized_uint8,0.22853469848632812,2.733,0.6245964081287385,13225984,
model_frac_0.750_static_quantized_uint8,0.23866701126098633,2.733,0.6522880189418794,13225984,
model_frac_0.750_static_quantized_uint8,0.24887514114379883,2.733,0.680186837911606,13225984,
model_frac_0.750_static_quantized_uint8,0.2590048313140869,2.733,0.7078712811470033,13225984,
model_frac_0.750_static_quantized_uint8,0.26936936378479004,2.733,0.7361975483894349,13225984,
model_frac_0.750_static_quantized_uint8,0.2795417308807373,2.733,0.7639986276626587,13225984,
model_frac_0.750_static_quantized_uint8,0.28965067863464355,2.733,0.7916263818740845,13225984,
model_frac_0.750_static_quantized_uint8,0.2998085021972656,2.733,0.8193877136707306,13225984,
model_frac_0.750_static_quantized_uint8,0.30994534492492676,2.733,0.8470917048454285,13225984,
model_frac_0.750_static_quantized_uint8,0.3200695514678955,2.733,0.8747611613273621,13225984,
model_frac_0.750_static_quantized_uint8,0.33020544052124023,2.733,0.9024625461101533,13225984,
model_frac_0.750_static_quantized_uint8,0.3403294086456299,2.733,0.9301313509941103,13225984,
model_frac_0.750_static_quantized_uint8,0.35083818435668945,2.733,0.9588518350124361,13225984,
model_frac_0.750_static_quantized_uint8,0.36096668243408203,2.733,0.98653302025795,13225984,
model_frac_0.750_static_quantized_uint8,0.3714125156402588,2.733,1.015081482410431,13225984,
model_frac_0.750_static_quantized_uint8,0.3815798759460449,2.733,1.0428688781261446,13225984,
