run_name,time,W,energy_usage,max_mem
model_epochs_5_frac_0.9_quantized,3.337860107421875e-06,2.767,1.7812013626098634e-05,9383936,
model_epochs_5_frac_0.9_quantized,0.02929210662841797,2.767,0.08105983519554137,9392128,
model_epochs_5_frac_0.9_quantized,0.03941822052001953,3.45,0.11599492812156675,9392128,
model_epochs_5_frac_0.9_quantized,0.049529075622558594,3.45,0.15087737822532651,9392128,
model_epochs_5_frac_0.9_quantized,0.05963897705078125,3.45,0.1857565381526947,9392128,
model_epochs_5_frac_0.9_quantized,0.06974506378173828,3.45,0.22062253737449644,9392128,
model_epochs_5_frac_0.9_quantized,0.07985258102416992,3.45,0.2554934718608856,9392128,
model_epochs_5_frac_0.9_quantized,0.08995962142944336,3.45,0.29036276125907895,9392128,
model_epochs_5_frac_0.9_quantized,0.10008716583251953,3.45,0.32530278944969176,9392128,
model_epochs_5_frac_0.9_quantized,0.11018848419189453,3.45,0.36015233778953554,9392128,
model_epochs_5_frac_0.9_quantized,0.12029695510864258,3.45,0.3950265624523163,9392128,
model_epochs_5_frac_0.9_quantized,0.13041996955871582,3.45,0.429950962305069,9392128,
model_epochs_5_frac_0.9_quantized,0.14052820205688477,3.45,0.46482436442375186,9392128,
model_epochs_5_frac_0.9_quantized,0.1506342887878418,3.45,0.49969036364555364,9392128,
model_epochs_5_frac_0.9_quantized,0.16075658798217773,3.45,0.5346122958660127,9392128,
model_epochs_5_frac_0.9_quantized,0.17086386680603027,3.45,0.569482407808304,9392128,
model_epochs_5_frac_0.9_quantized,0.1809682846069336,3.45,0.6043426492214204,9392128,
model_epochs_5_frac_0.9_quantized,0.19122886657714844,3.45,0.6397416570186617,9392128,
model_epochs_5_frac_0.9_quantized,0.20134282112121582,3.45,0.6746348001956942,9392128,
model_epochs_5_frac_0.9_quantized,0.21145129203796387,3.45,0.709509024858475,9392128,
model_epochs_5_frac_0.9_quantized,0.22158193588256836,3.45,0.7444597461223605,9392128,
model_epochs_5_frac_0.9_quantized,0.23169636726379395,3.45,0.7793545343875888,9392128,
model_epochs_5_frac_0.9_quantized,0.24180126190185547,3.45,0.8142164208889011,9392128,
model_epochs_5_frac_0.9_quantized,0.2522280216217041,3.45,0.8501887419223789,9392128,
model_epochs_5_frac_0.9_quantized,0.26233792304992676,3.45,0.885067901849747,9392128,
model_epochs_5_frac_0.9_quantized,0.27243947982788086,3.45,0.9199182727336886,9392128,
model_epochs_5_frac_0.9_quantized,0.28254175186157227,3.45,0.954771111249924,9392128,
model_epochs_5_frac_0.9_quantized,0.2926516532897949,3.45,0.9896502711772921,9392128,
model_epochs_5_frac_0.9_quantized,0.3027777671813965,3.45,1.0245853641033176,9392128,
model_epochs_5_frac_0.9_quantized,0.31288647651672363,3.45,1.0594604113101962,9392128,
model_epochs_5_frac_0.9_quantized,0.32299256324768066,3.45,1.0943264105319979,9392128,
model_epochs_5_frac_0.9_quantized,0.3332946300506592,3.45,1.1298685410022737,9392128,
model_epochs_5_frac_0.9_quantized,0.34340381622314453,3.45,1.1647452332973482,9392128,
model_epochs_5_frac_0.9_quantized,0.35351037979125977,3.45,1.1996128776073458,9392128,
model_epochs_5_frac_0.9_quantized,0.3637666702270508,3.45,1.2349970796108247,9392128,
model_epochs_5_frac_0.9_quantized,0.37387561798095703,3.45,1.2698729493618013,9392128,
model_epochs_5_frac_0.9_quantized,0.38397669792175293,3.45,1.3047216751575472,9392128,
