run_name,time,W,energy_usage,max_mem
model_frac_0.840_static_quantized_int8,3.0994415283203125e-06,0.0,0.0,1056768,
model_frac_0.840_static_quantized_int8,0.010112762451171875,0.0,0.0,1323008,
model_frac_0.840_static_quantized_int8,0.020267009735107422,0.0,0.0,1323008,
model_frac_0.840_static_quantized_int8,0.030365943908691406,0.0,0.0,1581056,
model_frac_0.840_static_quantized_int8,0.04101705551147461,0.0,0.0,1839104,
model_frac_0.840_static_quantized_int8,0.05263090133666992,0.0,0.0,1839104,
model_frac_0.840_static_quantized_int8,0.06375336647033691,0.0,0.0,2105344,
model_frac_0.840_static_quantized_int8,0.07987594604492188,0.0,0.0,2105344,
model_frac_0.840_static_quantized_int8,0.0951385498046875,0.0,0.0,2363392,
model_frac_0.840_static_quantized_int8,0.10588908195495605,0.0,0.0,2363392,
model_frac_0.840_static_quantized_int8,0.12014126777648926,0.0,0.0,2621440,
model_frac_0.840_static_quantized_int8,0.13195204734802246,0.0,0.0,2621440,
model_frac_0.840_static_quantized_int8,0.14252567291259766,0.0,0.0,2621440,
model_frac_0.840_static_quantized_int8,0.15265703201293945,0.0,0.0,2621440,
model_frac_0.840_static_quantized_int8,0.16278600692749023,0.0,0.0,2621440,
model_frac_0.840_static_quantized_int8,0.17292046546936035,0.0,0.0,2621440,
model_frac_0.840_static_quantized_int8,0.18306684494018555,0.0,0.0,2621440,
model_frac_0.840_static_quantized_int8,0.1931743621826172,0.0,0.0,2621440,
model_frac_0.840_static_quantized_int8,0.20341253280639648,0.0,0.0,2621440,
model_frac_0.840_static_quantized_int8,0.21376395225524902,0.0,0.0,2621440,
model_frac_0.840_static_quantized_int8,0.22390341758728027,0.0,0.0,2621440,
model_frac_0.840_static_quantized_int8,0.23401188850402832,0.0,0.0,2621440,
model_frac_0.840_static_quantized_int8,0.24413585662841797,0.0,0.0,2621440,
model_frac_0.840_static_quantized_int8,0.25440096855163574,0.0,0.0,2621440,
model_frac_0.840_static_quantized_int8,0.2645256519317627,0.0,0.0,2621440,
model_frac_0.840_static_quantized_int8,0.27465057373046875,0.0,0.0,2621440,
model_frac_0.840_static_quantized_int8,0.2848694324493408,0.0,0.0,2621440,
model_frac_0.840_static_quantized_int8,0.29501962661743164,0.0,0.0,2621440,
model_frac_0.840_static_quantized_int8,0.3051340579986572,0.0,0.0,2621440,
model_frac_0.840_static_quantized_int8,0.31537365913391113,0.0,0.0,2621440,
model_frac_0.840_static_quantized_int8,0.32574009895324707,0.0,0.0,2621440,
model_frac_0.840_static_quantized_int8,0.33586764335632324,0.0,0.0,2621440,
model_frac_0.840_static_quantized_int8,0.345975399017334,0.0,0.0,2621440,
model_frac_0.840_static_quantized_int8,0.3563272953033447,0.0,0.0,2621440,
model_frac_0.840_static_quantized_int8,0.36646103858947754,0.0,0.0,2621440,
model_frac_0.840_static_quantized_int8,0.3765754699707031,0.0,0.0,2621440,
model_frac_0.840_static_quantized_int8,0.38677239418029785,0.0,0.0,2621440,
model_frac_0.840_static_quantized_int8,0.39720654487609863,0.0,0.0,2621440,
model_frac_0.840_static_quantized_int8,0.4073300361633301,4.107,0.04157717871665955,2621440,
model_frac_0.840_static_quantized_int8,0.417468786239624,4.107,0.08321702527999879,2621440,
model_frac_0.840_static_quantized_int8,0.4277219772338867,4.107,0.12532688069343567,2621440,
model_frac_0.840_static_quantized_int8,0.43787264823913574,4.107,0.16701568651199342,2621440,
model_frac_0.840_static_quantized_int8,0.44798731803894043,4.107,0.20855663537979127,2621440,
model_frac_0.840_static_quantized_int8,0.45829010009765625,4.107,0.25087016129493717,2621440,
model_frac_0.840_static_quantized_int8,0.4688692092895508,4.107,0.294318562746048,2621440,
model_frac_0.840_static_quantized_int8,0.4790170192718506,4.107,0.3359956183433533,2621440,
model_frac_0.840_static_quantized_int8,0.48913121223449707,4.107,0.3775346088409424,2621440,
model_frac_0.840_static_quantized_int8,0.49933576583862305,4.107,0.4194447104930878,2621440,
model_frac_0.840_static_quantized_int8,0.5095891952514648,4.107,0.46155554509162905,2621440,
model_frac_0.840_static_quantized_int8,0.5197186470031738,4.107,0.5031572034358979,2621440,
model_frac_0.840_static_quantized_int8,0.5298240184783936,4.107,0.5446599640846252,2621440,
model_frac_0.840_static_quantized_int8,0.5400521755218506,4.107,0.5866670050621032,2621440,
model_frac_0.840_static_quantized_int8,0.5503664016723633,4.107,0.6290275318622589,2621440,
model_frac_0.840_static_quantized_int8,0.5604889392852783,4.107,0.670600793838501,2621440,
