,Prune Fraction,Test Accuracy,Train Accuracy,epochs_trained
0,0.89,74.13,89.868,100
1,0.9,73.8,85.048,100
2,0.91,73.93,83.882,100
3,0.92,71.7,78.578,100
4,0.93,71.13,76.9,100
5,0.9400000000000001,69.54,71.406,100
6,0.9500000000000001,62.85,64.638,100
